0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:20 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6427 92036
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:20 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6427 60120
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 2325
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1052
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1975
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 2148
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1247
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1705
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 31321
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 21465
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 60777
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 52210
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 118230
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:25 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 113958
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:29 +0700] "OPTIONS /api/v1/rooms/cinema/1 HTTP/1.1" 200 - 1350
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:29 +0700] "GET /api/v1/rooms/cinema/1 HTTP/1.1" 200 345 34322
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:46 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1176
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:47 +0700] "POST /api/v1/showtime HTTP/1.1" 201 379 1070972
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:47 +0700] "GET /api/v1/showtime HTTP/1.1" 200 733 27272
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1099
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1433
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:56:52 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1125
