0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:51 +0700] "GET /swagger-ui/swagger-ui-standalone-preset.js HTTP/1.1" 200 229223 17749
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:51 +0700] "GET /swagger-ui/swagger-ui-bundle.js HTTP/1.1" 200 1468326 38570
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:51 +0700] "GET /swagger-ui/swagger-initializer.js HTTP/1.1" 200 612 53270
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:51 +0700] "GET /swagger-ui/favicon-32x32.png HTTP/1.1" 200 628 6593
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:51 +0700] "GET /api-docs/swagger-config HTTP/1.1" 200 163 69139
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:54 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 63101
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:54 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2822 15162
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:54 +0700] "GET /api/v1/movies/38 HTTP/1.1" 200 739 61677
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:54 +0700] "GET /api/v1/movies/38 HTTP/1.1" 200 739 19679
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:54 +0700] "GET /api/v1/showtime?movieId=38 HTTP/1.1" 200 470 29686
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:54 +0700] "GET /api/v1/showtime?movieId=38 HTTP/1.1" 200 469 12777
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:54:55 +0700] "GET /api-docs HTTP/1.1" 200 129029 4041150
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:20 +0700] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 - 3250
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:20 +0700] "POST /api/v1/auth/login HTTP/1.1" 200 877 709244
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:35 +0700] "OPTIONS /api/v1/movies?page=0&size=10&sort=releaseDate,desc HTTP/1.1" 200 - 6392
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:35 +0700] "OPTIONS /api/v1/movies?page=0&size=10&sort=releaseDate,desc HTTP/1.1" 200 - 5735
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:36 +0700] "GET /api/v1/movies?page=0&size=10&sort=releaseDate,desc HTTP/1.1" 200 5055 922266
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:36 +0700] "GET /api/v1/movies?page=0&size=10&sort=releaseDate,desc HTTP/1.1" 200 5055 56342
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:49 +0700] "OPTIONS /api/v1/cinema-clusters/all HTTP/1.1" 200 - 1821
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:49 +0700] "OPTIONS /api/v1/cinema-clusters/all HTTP/1.1" 200 - 2448
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:49 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 24333
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:49 +0700] "OPTIONS /api/v1/cinemas/cluster/1 HTTP/1.1" 200 - 1683
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:49 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 26456
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:50 +0700] "GET /api/v1/cinemas/cluster/1 HTTP/1.1" 200 3411 128631
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:50 +0700] "GET /api/v1/cinemas/cluster/1 HTTP/1.1" 200 3412 92503
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:55 +0700] "OPTIONS /api/v1/cinemas/1 HTTP/1.1" 200 - 1876
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:55 +0700] "OPTIONS /api/v1/cinemas/1 HTTP/1.1" 200 - 1383
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:55 +0700] "GET /api/v1/cinemas/1 HTTP/1.1" 200 391 30928
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:55 +0700] "OPTIONS /api/v1/rooms/cinema/1 HTTP/1.1" 200 - 1636
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:55 +0700] "GET /api/v1/cinemas/1 HTTP/1.1" 200 390 25226
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:55 +0700] "GET /api/v1/rooms/cinema/1 HTTP/1.1" 200 345 23788
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:55 +0700] "GET /api/v1/rooms/cinema/1 HTTP/1.1" 200 345 20194
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:57 +0700] "OPTIONS /api/v1/seats/room/1 HTTP/1.1" 200 - 3547
0:0:0:0:0:0:0:1 - - [06/Nov/2025:12:58:57 +0700] "OPTIONS /api/v1/seats/room/1 HTTP/1.1" 200 - 3539
